"Kari Zev, Skyship Raider","[0, False]"
Robber of the Rich,"[0, False]"
Stormblood Berserker,"[0, False]"
Young Pyromancer,"[0, False]"
Bonecrusher Giant,"[0, False]"
Goblin Rabblemaster,"[0, False]"
Imperial Recruiter,"[0, False]"
Legion Warboss,"[0, False]"
Seasoned Pyromancer,"[0, False]"
Avalanche Riders,"[0, False]"
Flametongue Kavu,"[0, False]"
Hazoret the Fervent,"[0, False]"
Hellrider,"[0, False]"
Pia and Kiran Nalaar,"[0, False]"
Glorybringer,"[0, False]"
"Kiki-Jiki, Mirror Breaker","[0, False]"
Zealous Conscripts,"[0, False]"
Inferno Titan,"[0, False]"
"Chandra, Torch of Defiance","[0, False]"
"Daretti, Scrap Savant","[0, False]"
Koth of the Hammer,"[0, False]"
Burst Lightning,"[0, False]"
Lightning Bolt,"[0, False]"
Abrade,"[0, False]"
Desperate Ritual,"[0, False]"
Incinerate,"[0, False]"
Magma Jet,"[0, False]"
Pyretic Ritual,"[0, False]"
Char,"[0, False]"
Seething Song,"[0, False]"
Valakut Awakening,"[0, False]"
Through the Breach,"[0, False]"
Fireblast,"[0, False]"
Banefire,"[0, False]"
Chain Lightning,"[0, False]"
Faithless Looting,"[0, False]"
Firebolt,"[0, False]"
Flame Slash,"[0, False]"
Gamble,"[0, False]"
Rite of Flame,"[0, False]"
Cathartic Reunion,"[0, False]"
Jeska's Will,"[0, False]"
Wheel of Fortune,"[0, False]"
Fiery Confluence,"[0, False]"
Past in Flames,"[0, False]"
Ignite Memories,"[0, False]"
Burning of Xinye,"[0, False]"
Wildfire,"[0, False]"
Shrine of Burning Rage,"[0, False]"
Underworld Breach,"[0, False]"
Mana Flare,"[0, False]"
Sulfuric Vortex,"[0, False]"
Valakut Exploration,"[0, False]"
Sneak Attack,"[0, False]"
Splinter Twin,"[0, False]"
Arbor Elf,"[0, False]"
Avacyn's Pilgrim,"[0, False]"
Birds of Paradise,"[0, False]"
Elvish Mystic,"[0, False]"
Elvish Reclaimer,"[0, False]"
Fyndhorn Elves,"[0, False]"
Hexdrinker,"[0, False]"
Joraga Treespeaker,"[0, False]"
Llanowar Elves,"[0, False]"
Noble Hierarch,"[0, False]"
Collector Ouphe,"[0, False]"
Devoted Druid,"[0, False]"
Duskwatch Recruiter,"[0, False]"
Fauna Shaman,"[0, False]"
Lotus Cobra,"[0, False]"
"Melira, Sylvok Outcast","[0, False]"
"Rofellos, Llanowar Emissary","[0, False]"
Sakura-Tribe Elder,"[0, False]"
Scavenging Ooze,"[0, False]"
Sylvan Caryatid,"[0, False]"
Wall of Blossoms,"[0, False]"
Wall of Roots,"[0, False]"
Courser of Kruphix,"[0, False]"
Dryad of the Ilysian Grove,"[0, False]"
Eternal Witness,"[0, False]"
"Nissa, Vastwood Seer","[0, False]"
Ramunap Excavator,"[0, False]"
Reclamation Sage,"[0, False]"
Tireless Tracker,"[0, False]"
Oracle of Mul Daya,"[0, False]"
"Polukranos, World Eater","[0, False]"
Questing Beast,"[0, False]"
Acidic Slime,"[0, False]"
Deep Forest Hermit,"[0, False]"
Deranged Hermit,"[0, False]"
Thragtusk,"[0, False]"
Carnage Tyrant,"[0, False]"
Primeval Titan,"[0, False]"
Avenger of Zendikar,"[0, False]"
Craterhoof Behemoth,"[0, False]"
Hornet Queen,"[0, False]"
Terastodon,"[0, False]"
Woodfall Primus,"[0, False]"
Garruk Relentless,"[0, False]"
Garruk Wildspeaker,"[0, False]"
"Nissa, Who Shakes the World","[0, False]"
Crop Rotation,"[0, False]"
Nature's Claim,"[0, False]"
Worldly Tutor,"[0, False]"
Once Upon a Time,"[0, False]"
Beast Within,"[0, False]"
Green Sun's Zenith,"[0, False]"
Channel,"[0, False]"
Finale of Devastation,"[0, False]"
Life from the Loam,"[0, False]"
Regrowth,"[0, False]"
Cultivate,"[0, False]"
Kodama's Reach,"[0, False]"
Harmonize,"[0, False]"
Natural Order,"[0, False]"
Plow Under,"[0, False]"
Tooth and Nail,"[0, False]"
Birthing Pod,"[0, False]"
Exploration,"[0, False]"
Fastbond,"[0, False]"
Oath of Druids,"[0, False]"
Survival of the Fittest,"[0, False]"
Sylvan Library,"[0, False]"
Heartbeat of Spring,"[0, False]"
Gaea's Cradle,"[0, False]"
Celestial Colonnade,"[0, False]"
Flooded Strand,"[0, False]"
Hallowed Fountain,"[0, False]"
Seachrome Coast,"[0, False]"
Tundra,"[0, False]"
Geist of Saint Traft,"[0, False]"
Sphinx's Revelation,"[0, False]"
"Teferi, Time Raveler","[0, False]"
Fractured Identity,"[0, False]"
"Teferi, Hero of Dominaria","[0, False]"
Creeping Tar Pit,"[0, False]"
Darkslick Shores,"[0, False]"
Polluted Delta,"[0, False]"
Underground Sea,"[0, False]"
Watery Grave,"[0, False]"
Baleful Strix,"[0, False]"
"Ashiok, Nightmare Weaver","[0, False]"
"Tezzeret, Agent of Bolas","[0, False]"
Fallen Shinobi,"[0, False]"
The Scarab God,"[0, False]"
Badlands,"[0, False]"
Blackcleave Cliffs,"[0, False]"
Blood Crypt,"[0, False]"
Bloodstained Mire,"[0, False]"
Lavaclaw Reaches,"[0, False]"
Dreadbore,"[0, False]"
Rakdos's Return,"[0, False]"
"Daretti, Ingenious Iconoclast","[0, False]"
Kolaghan's Command,"[0, False]"
Murderous Redcap,"[0, False]"
Raging Ravine,"[0, False]"
Sheltered Thicket,"[0, False]"
Stomping Ground,"[0, False]"
Taiga,"[0, False]"
Wooded Foothills,"[0, False]"
Ancient Grudge,"[0, False]"
Manamorphose,"[0, False]"
Wrenn and Six,"[0, False]"
Bloodbraid Elf,"[0, False]"
Dragonlord Atarka,"[0, False]"
Horizon Canopy,"[0, False]"
Savannah,"[0, False]"
Stirring Wildwood,"[0, False]"
Temple Garden,"[0, False]"
Windswept Heath,"[0, False]"
Eladamri's Call,"[0, False]"
Gaddock Teeg,"[0, False]"
Kitchen Finks,"[0, False]"
Knight of Autumn,"[0, False]"
Mirari's Wake,"[0, False]"
Godless Shrine,"[0, False]"
Marsh Flats,"[0, False]"
Scrubland,"[0, False]"
Shambling Vent,"[0, False]"
Silent Clearing,"[0, False]"
Tidehollow Sculler,"[0, False]"
Lingering Souls,"[0, False]"
Vindicate,"[0, False]"
Unburial Rites,"[0, False]"
Ashen Rider,"[0, False]"
Bayou,"[0, False]"
Hissing Quagmire,"[0, False]"
Nurturing Peatland,"[0, False]"
Overgrown Tomb,"[0, False]"
Verdant Catacombs,"[0, False]"
Assassin's Trophy,"[0, False]"
Maelstrom Pulse,"[0, False]"
Pernicious Deed,"[0, False]"
"Vraska, Golgari Queen","[0, False]"
The Gitrog Monster,"[0, False]"
Botanical Sanctum,"[0, False]"
Breeding Pool,"[0, False]"
Lumbering Falls,"[0, False]"
Misty Rainforest,"[0, False]"
Tropical Island,"[0, False]"
Hydroid Krasis,"[0, False]"
"Kinnan, Bonder Prodigy","[0, False]"
"Oko, Thief of Crowns","[0, False]"
Trygon Predator,"[0, False]"
"Uro, Titan of Nature's Wrath","[0, False]"
Scalding Tarn,"[0, False]"
Spirebluff Canal,"[0, False]"
Steam Vents,"[0, False]"
Volcanic Island,"[0, False]"
Wandering Fumarole,"[0, False]"
Dack Fayden,"[0, False]"
Electrolyze,"[0, False]"
Fire // Ice,"[0, False]"
Expansion // Explosion,"[0, False]"
Thousand-Year Storm,"[0, False]"
Arid Mesa,"[0, False]"
Figure of Destiny,"[0, False]"
Needle Spires,"[0, False]"
Plateau,"[0, False]"
Sacred Foundry,"[0, False]"
Sunbaked Canyon,"[0, False]"
Lightning Helix,"[0, False]"
Wear // Tear,"[0, False]"
Ajani Vengeant,"[0, False]"
"Nahiri, the Harbinger","[0, False]"
Progenitus,"[0, False]"
Hangarback Walker,"[0, False]"
