Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Ulamog, the Ceaseless Hunger",10,"Legendary Creature - Eldrazi",,"bfz","15",mythic,c,Not Owned,Non-foil,false,,,"New","",58301,
"Ulamog, the Infinite Gyre",11,"Legendary Creature - Eldrazi",,"roe","12",mythic,c,Not Owned,Non-foil,false,,,"New","",36666,
"Karn, Scion of Urza",4,"Legendary Planeswalker - Karn",,"dom","1",mythic,c,Owned,Non-foil,false,,,"","",67467,
"Karn Liberated",7,"Legendary Planeswalker - Karn",,"nph","1",mythic,c,Not Owned,Non-foil,false,,,"New","",39710,
"Ugin, the Spirit Dragon",8,"Legendary Planeswalker - Ugin",,"frf","1",mythic,c,Not Owned,Non-foil,false,,,"New","",55364,
"Gitaxian Probe",1,"Sorcery",,"nph","35",common,Colorless,Owned,Non-foil,false,,,"","",39976,
"Black Lotus",0,"Artifact",,"leb","233",rare,c,Not Owned,Non-foil,false,,,"New","",,
"Chrome Mox",0,"Artifact",,"mrd","152",rare,c,Owned,Non-foil,false,,,"","",19831,
"Everflowing Chalice",0,"Artifact",,"wwk","123",uncommon,c,Owned,Non-foil,false,,,"","",35681,
"Lion's Eye Diamond",0,"Artifact",,"mir","307",rare,c,Not Owned,Non-foil,false,,,"New","",7103,
"Lotus Bloom",0,"Artifact",,"tsp","259",rare,c,Owned,Non-foil,false,,,"","",25691,
"Lotus Petal",0,"Artifact",,"tmp","294",common,c,Not Owned,Non-foil,false,,,"New","",9475,
"Mana Crypt",0,"Artifact",,"phpr","5",rare,c,Not Owned,Non-foil,false,,,"New","",,
"Mana Vault",1,"Artifact",,"leb","260",rare,c,Not Owned,Non-foil,false,,,"New","",,
"Mox Diamond",0,"Artifact",,"sth","138",rare,c,Not Owned,Non-foil,false,,,"New","",10325,
"Mox Emerald",0,"Artifact",,"leb","262",rare,g,Not Owned,Non-foil,false,,,"New","",,
"Mox Jet",0,"Artifact",,"leb","263",rare,b,Not Owned,Non-foil,false,,,"New","",,
"Mox Pearl",0,"Artifact",,"leb","264",rare,w,Not Owned,Non-foil,false,,,"New","",,
"Mox Ruby",0,"Artifact",,"leb","265",rare,r,Not Owned,Non-foil,false,,,"New","",,
"Mox Sapphire",0,"Artifact",,"leb","266",rare,u,Not Owned,Non-foil,false,,,"New","",,
"Sensei's Divining Top",1,"Artifact",,"chk","268",uncommon,c,Not Owned,Non-foil,false,,,"New","",21045,
"Skullclamp",1,"Artifact - Equipment",,"dst","140",uncommon,c,Not Owned,Non-foil,false,,,"New","",20551,
"Sol Ring",1,"Artifact",,"leb","270",uncommon,c,Not Owned,Non-foil,false,,,"New","",,
"Zuran Orb",0,"Artifact",,"ice","350",uncommon,c,Owned,Non-foil,false,,,"","",,
"Azorius Signet",2,"Artifact",,"dis","159",common,m,Not Owned,Non-foil,false,,,"New","",24023,
"Boros Signet",2,"Artifact",,"rav","255",common,m,Owned,Non-foil,false,,,"","",23566,
"Dimir Signet",2,"Artifact",,"rav","260",common,m,Not Owned,Non-foil,false,,,"New","",23562,
"Golgari Signet",2,"Artifact",,"rav","262",common,m,Owned,Non-foil,false,,,"","",23564,
"Grim Monolith",2,"Artifact",,"ulg","126",rare,c,Not Owned,Non-foil,false,,,"New","",12551,
"Gruul Signet",2,"Artifact",,"gpt","150",common,m,Owned,Non-foil,false,,,"","",23669,
"Izzet Signet",2,"Artifact",,"gpt","152",common,m,Not Owned,Non-foil,false,,,"New","",23679,
"Lightning Greaves",2,"Artifact - Equipment",,"mrd","199",uncommon,c,Not Owned,Non-foil,false,,,"New","",19737,
"Orzhov Signet",2,"Artifact",,"gpt","155",common,m,Owned,Non-foil,false,,,"","",23681,
"Rakdos Signet",2,"Artifact",,"dis","165",common,m,Owned,Non-foil,false,,,"","",24045,
"Scroll Rack",2,"Artifact",,"tmp","308",rare,c,Owned,Non-foil,false,,,"","",9743,
"Selesnya Signet",2,"Artifact",,"rav","270",common,m,Owned,Non-foil,false,,,"","",23568,
"Simic Signet",2,"Artifact",,"dis","166",common,m,Not Owned,Non-foil,false,,,"New","",24015,
"Smuggler's Copter",2,"Artifact - Vehicle",,"kld","235",rare,c,Not Owned,Non-foil,false,,,"New","",61797,
"Umezawa's Jitte",2,"Legendary Artifact - Equipment",,"bok","163",rare,c,Not Owned,Non-foil,false,,,"New","",21603,
"Winter Orb",2,"Artifact",,"leb","276",rare,c,Not Owned,Non-foil,false,,,"New","",,
"Basalt Monolith",3,"Artifact",,"leb","232",uncommon,c,Not Owned,Non-foil,false,,,"New","",,
"Coalition Relic",3,"Artifact",,"fut","161",rare,c,Not Owned,Non-foil,false,,,"New","",26926,
"Crucible of Worlds",3,"Artifact",,"5dn","114",rare,c,Not Owned,Non-foil,false,,,"New","",20790,
"Sword of Feast and Famine",3,"Artifact - Equipment",,"mbs","138",mythic,c,Not Owned,Non-foil,false,,,"New","",39549,
"Sword of Fire and Ice",3,"Artifact - Equipment",,"dst","148",rare,c,Not Owned,Non-foil,false,,,"New","",20535,
"Tangle Wire",3,"Artifact",,"nem","139",rare,c,Not Owned,Non-foil,false,,,"New","",13809,
"Worn Powerstone",3,"Artifact",,"usg","318",uncommon,c,Not Owned,Non-foil,false,,,"New","",12089,
"Coercive Portal",4,"Artifact",,"cns","56",mythic,c,Owned,Non-foil,false,,,"","",,
"Smokestack",4,"Artifact",,"usg","309",rare,c,Not Owned,Non-foil,false,,,"New","",12131,
"Thran Dynamo",4,"Artifact",,"uds","139",uncommon,c,Not Owned,Non-foil,false,,,"New","",12925,
"Batterskull",5,"Artifact - Equipment",,"nph","130",mythic,c,Not Owned,Non-foil,false,,,"New","",39974,
"Gilded Lotus",5,"Artifact",,"mrd","175",rare,c,Owned,Non-foil,false,,,"","",20113,
"Memory Jar",5,"Artifact",,"ulg","129",rare,c,Not Owned,Non-foil,false,,,"New","",12697,
"Mindslaver",6,"Legendary Artifact",,"mrd","206",rare,c,Not Owned,Non-foil,false,,,"New","",19827,
"Ancient Tomb",0,"Land",,"tmp","315",uncommon,l,Not Owned,Non-foil,false,,,"New","",10043,
"Bazaar of Baghdad",0,"Land",,"arn","70",uncommon,l,Not Owned,Non-foil,false,,,"New","",,
"Dark Depths",0,"Legendary Snow Land",,"csp","145",rare,l,Owned,Non-foil,false,,,"","",24583,
"Field of the Dead",0,"Land",,"m20","247",rare,l,Owned,Non-foil,false,,,"","",73393,
"Library of Alexandria",0,"Land",,"arn","76",uncommon,l,Not Owned,Non-foil,false,,,"New","",,
"Mana Confluence",0,"Land",,"jou","163",rare,l,Not Owned,Non-foil,false,,,"New","",52120,
"Maze of Ith",0,"Land",,"drk","117",uncommon,l,Not Owned,Non-foil,false,,,"New","",,
"Mishra's Factory",0,"Land",,"atq","80a",uncommon,l,Not Owned,Non-foil,false,,,"New","",,
"Mishra's Workshop",0,"Land",,"atq","81",rare,l,Not Owned,Non-foil,false,,,"New","",,
"Mutavault",0,"Land",,"mor","148",rare,l,Not Owned,Non-foil,false,,,"New","",29074,
"Prismatic Vista",0,"Land",,"mh1","244",rare,l,Not Owned,Non-foil,false,,,"New","",72860,
"Rishadan Port",0,"Land",,"mmq","324",rare,l,Not Owned,Non-foil,false,,,"New","",13359,
"Strip Mine",0,"Land",,"atq","82d",rare,l,Not Owned,Non-foil,false,,,"New","",,
"The Tabernacle at Pendrell Vale",0,"Legendary Land",,"leg","307",rare,l,Owned,Non-foil,false,,,"","",,
"Thespian's Stage",0,"Land",,"gtc","248",rare,l,Owned,Non-foil,false,,,"","",47805,
"Wasteland",0,"Land",,"tmp","330",uncommon,l,Not Owned,Non-foil,false,,,"New","",10035,
