Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Vendilion Clique",3,"Legendary Creature - Faerie Wizard",U,"mor","55",rare,u,Not Owned,Non-foil,false,,,"New","",28946,
"Glen Elendra Archmage",4,"Creature - Faerie Wizard",U,"eve","22",rare,u,Not Owned,Non-foil,false,,,"New","",30226,
"Urza, Lord High Artificer",4,"Legendary Creature - Human Artificer",U,"mh1","75",mythic,u,Not Owned,Non-foil,false,,,"New","",72522,
"Venser, Shaper Savant",4,"Legendary Creature - Human Wizard",U,"fut","46",rare,u,Not Owned,Non-foil,false,,,"New","",26594,
"Mulldrifter",5,"Creature - Elemental",U,"lrw","76",common,u,Owned,Non-foil,false,,,"","",28245,
"Riftwing Cloudskate",5,"Creature - Illusion",U,"tsp","73",uncommon,u,Owned,Non-foil,false,,,"","",25519,
"Consecrated Sphinx",6,"Creature - Sphinx",U,"mbs","21",mythic,u,Not Owned,Non-foil,false,,,"New","",39537,
"Inkwell Leviathan",9,"Artifact Creature - Leviathan",U,"con","30",rare,u,Not Owned,Non-foil,false,,,"New","",31689,
"Palinchron",7,"Creature - Illusion",U,"ulg","38",rare,u,Not Owned,Non-foil,false,,,"New","",12469,
"Narset, Parter of Veils",3,"Legendary Planeswalker - Narset",U,"war","61",uncommon,u,Not Owned,Non-foil,false,,,"New","",71728,
"Jace, the Mind Sculptor",4,"Legendary Planeswalker - Jace",U,"wwk","31",mythic,u,Not Owned,Non-foil,false,,,"New","",35591,
"Jace, Wielder of Mysteries",4,"Legendary Planeswalker - Jace",U,"war","54",rare,u,Owned,Non-foil,false,,,"","",71714,
"Ancestral Recall",1,"Instant",U,"leb","48",rare,u,Not Owned,Non-foil,false,,,"New","",,
"Brainstorm",1,"Instant",U,"ice","61",common,u,Not Owned,Non-foil,false,,,"New","",24401,
"Force Spike",1,"Instant",U,"leg","58",common,u,Not Owned,Non-foil,false,,,"New","",,
"High Tide",1,"Instant",U,"fem","18b",common,u,Not Owned,Non-foil,false,,,"New","",,
"Mystical Tutor",1,"Instant",U,"mir","80",uncommon,u,Not Owned,Non-foil,false,,,"New","",7163,
"Repeal",1,"Instant",U,"gpt","32",common,u,Owned,Non-foil,false,,,"","",23627,
"Spell Pierce",1,"Instant",U,"zen","67",common,u,Not Owned,Non-foil,false,,,"New","",34442,
"Brain Freeze",2,"Instant",U,"scg","29",uncommon,u,Not Owned,Non-foil,false,,,"New","",18932,
"Counterspell",2,"Instant",U,"leb","55",uncommon,u,Not Owned,Non-foil,false,,,"New","",,
"Daze",2,"Instant",U,"nem","30",common,u,Not Owned,Non-foil,false,,,"New","",14009,
"Impulse",2,"Instant",U,"vis","34",common,u,Not Owned,Non-foil,false,,,"New","",7589,
"Mana Drain",2,"Instant",U,"leg","65",uncommon,u,Not Owned,Non-foil,false,,,"New","",,
"Mana Leak",2,"Instant",U,"sth","36",common,u,Not Owned,Non-foil,false,,,"New","",10307,
"Miscalculation",2,"Instant",U,"ulg","36",common,u,Not Owned,Non-foil,false,,,"New","",12607,
"Remand",2,"Instant",U,"rav","63",uncommon,u,Not Owned,Non-foil,false,,,"New","",23174,
"Force of Negation",3,"Instant",U,"mh1","52",rare,u,Not Owned,Non-foil,false,,,"New","",72476,
"Frantic Search",3,"Instant",U,"ulg","32",common,u,Not Owned,Non-foil,false,,,"New","",12615,
"Thirst for Knowledge",3,"Instant",U,"mrd","53",uncommon,u,Not Owned,Non-foil,false,,,"New","",19705,
